year,signal_name,category,value,unit,source
2020,ai_demand_index,demand,100,index,"Stanford AI Index, cloud disclosures, and public AI workload commentary (indexed synthesis)"
2021,ai_demand_index,demand,130,index,"Stanford AI Index, cloud disclosures, and public AI workload commentary (indexed synthesis)"
2022,ai_demand_index,demand,180,index,"Stanford AI Index, cloud disclosures, and public AI workload commentary (indexed synthesis)"
2023,ai_demand_index,demand,290,index,"Stanford AI Index, cloud disclosures, and public AI workload commentary (indexed synthesis)"
2024,ai_demand_index,demand,470,index,"Stanford AI Index, cloud disclosures, and public AI workload commentary (indexed synthesis)"
2025,ai_demand_index,demand,650,index,"Stanford AI Index, cloud disclosures, and public AI workload commentary (indexed synthesis)"
2026,ai_demand_index,demand,820,index,"Stanford AI Index, cloud disclosures, and public AI workload commentary (indexed synthesis)"
2020,gpu_supply_index,compute,100,index,"NVIDIA datacenter disclosures and public GPU supply commentary (indexed synthesis)"
2021,gpu_supply_index,compute,118,index,"NVIDIA datacenter disclosures and public GPU supply commentary (indexed synthesis)"
2022,gpu_supply_index,compute,150,index,"NVIDIA datacenter disclosures and public GPU supply commentary (indexed synthesis)"
2023,gpu_supply_index,compute,220,index,"NVIDIA datacenter disclosures and public GPU supply commentary (indexed synthesis)"
2024,gpu_supply_index,compute,320,index,"NVIDIA datacenter disclosures and public GPU supply commentary (indexed synthesis)"
2025,gpu_supply_index,compute,430,index,"NVIDIA datacenter disclosures and public GPU supply commentary (indexed synthesis)"
2026,gpu_supply_index,compute,540,index,"NVIDIA datacenter disclosures and public GPU supply commentary (indexed synthesis)"
2020,hbm_supply_index,memory,100,index,"TrendForce, SK hynix, Micron, and HBM market commentary (indexed synthesis)"
2021,hbm_supply_index,memory,110,index,"TrendForce, SK hynix, Micron, and HBM market commentary (indexed synthesis)"
2022,hbm_supply_index,memory,133,index,"TrendForce, SK hynix, Micron, and HBM market commentary (indexed synthesis)"
2023,hbm_supply_index,memory,175,index,"TrendForce, SK hynix, Micron, and HBM market commentary (indexed synthesis)"
2024,hbm_supply_index,memory,230,index,"TrendForce, SK hynix, Micron, and HBM market commentary (indexed synthesis)"
2025,hbm_supply_index,memory,295,index,"TrendForce, SK hynix, Micron, and HBM market commentary (indexed synthesis)"
2026,hbm_supply_index,memory,360,index,"TrendForce, SK hynix, Micron, and HBM market commentary (indexed synthesis)"
2020,storage_supply_index,storage,100,index,"IDC, hyperscale storage reporting, and public storage market commentary (indexed synthesis)"
2021,storage_supply_index,storage,105,index,"IDC, hyperscale storage reporting, and public storage market commentary (indexed synthesis)"
2022,storage_supply_index,storage,116,index,"IDC, hyperscale storage reporting, and public storage market commentary (indexed synthesis)"
2023,storage_supply_index,storage,132,index,"IDC, hyperscale storage reporting, and public storage market commentary (indexed synthesis)"
2024,storage_supply_index,storage,150,index,"IDC, hyperscale storage reporting, and public storage market commentary (indexed synthesis)"
2025,storage_supply_index,storage,171,index,"IDC, hyperscale storage reporting, and public storage market commentary (indexed synthesis)"
2026,storage_supply_index,storage,194,index,"IDC, hyperscale storage reporting, and public storage market commentary (indexed synthesis)"
2020,power_capacity_index,power,100,index,"IEA, DOE, EPRI, and public datacenter power analysis (indexed synthesis)"
2021,power_capacity_index,power,102,index,"IEA, DOE, EPRI, and public datacenter power analysis (indexed synthesis)"
2022,power_capacity_index,power,106,index,"IEA, DOE, EPRI, and public datacenter power analysis (indexed synthesis)"
2023,power_capacity_index,power,112,index,"IEA, DOE, EPRI, and public datacenter power analysis (indexed synthesis)"
2024,power_capacity_index,power,120,index,"IEA, DOE, EPRI, and public datacenter power analysis (indexed synthesis)"
2025,power_capacity_index,power,130,index,"IEA, DOE, EPRI, and public datacenter power analysis (indexed synthesis)"
2026,power_capacity_index,power,141,index,"IEA, DOE, EPRI, and public datacenter power analysis (indexed synthesis)"
