year,agriculture_value_added_usd,merchandise_imports_usd,food_import_share_percent,food_imports_usd,imported_food_share_of_supply,population
2000,66058744620.16,82298006872.37,12.5023,10289132184.12,0.134766,681125107
2001,67476233832.72,86642029776.53,13.2232,11456884504.98,0.145143,699588585
2002,88371064326.74,85506225733.27,13.3714,11433420319.73,0.114565,718662153
2003,97389019569.81,110818861280.18,13.4656,14922373096.98,0.132861,738316131
2004,106364934050.42,141674703450.98,12.0713,17102002308.24,0.138614,758653144
2005,125970185067.45,174390688824.61,10.6440,18562189967.62,0.128432,779665113
2006,150179830680.95,209837030419.14,11.6843,24517919036.63,0.140349,801269368
2007,179281013292.43,255389915342.81,12.1917,31136473339.62,0.147972,823564883
2008,219922279149.60,318265572472.77,11.3047,35979037004.46,0.140598,846656872
2009,214180619640.47,268183555748.61,12.2141,32756165738.39,0.132647,870347292
2010,233546017933.40,315940644975.89,11.8347,37390504774.22,0.138001,894666657
2011,241664634919.66,391991226597.02,14.9222,58493676745.34,0.194879,919528126
2012,260220947751.56,414701271302.56,13.7199,56896432905.49,0.179387,944970310
2013,278488067618.01,434528043742.39,12.5202,54403759204.51,0.163416,971232906
2014,296234852969.27,441577272202.20,12.5724,55516952840.54,0.157810,997961037
2015,275476772562.75,381662351386.96,12.1845,46503607760.81,0.144453,1025251114
2016,251428817456.14,332857988458.14,13.5794,45199957100.21,0.152370,1052824144
2017,263144647197.17,340001783419.34,14.3548,48806707037.01,0.156428,1080941647
2018,282310097479.82,383280042176.66,13.3054,50996929622.80,0.153010,1109997000
2019,373265720123.03,384053676640.14,12.5888,48347803643.15,0.114686,1139315618
2020,383377751601.56,320112637329.66,14.9948,48000094915.76,0.111255,1169015451
2021,416315884819.13,405916159068.20,14.7543,59889940817.74,0.125793,1199011925
2022,444388126052.44,486922674921.78,12.9883,63243172975.10,0.124610,1229208573
2023,407361611092.74,474386071626.38,12.1761,57761940052.43,0.124175,1259889959
2024,355339136322.01,470730398105.44,12.1393,57143421534.67,0.138544,1291044964
