year,task_type,task_name,pattern_id,pattern_name,model_family,vendor,model,scenario_share,baseline_total_tokens,gross_input_tokens,cached_input_tokens,output_tokens,total_tokens,orchestration_inflation_factor,cached_discount_ratio,gross_cost_per_task,net_cost_per_task,selected_input_per_1m_usd,selected_output_per_1m_usd,selected_cached_input_per_1m_usd,selected_context_window_tokens
2023,support,Customer support answer,direct_prompt,Direct prompt,budget,OpenAI,gpt-3.5-turbo,0.22000000000000003,3300,5600,0.0,1150,6750,2.0454545454545454,0.0,0.0079,0.0079,1.0,2.0,0.0,16000
2023,support,Customer support answer,rag_assisted,RAG assisted,budget,OpenAI,gpt-3.5-turbo,0.12,3300,16800,70.0,3200,20000,6.0606060606060606,0.05,0.0232,0.023129999999999998,1.0,2.0,0.0,16000
2023,support,Customer support answer,plan_execute,Plan and execute,budget,OpenAI,gpt-3.5-turbo,0.04000000000000001,3300,102900,1001.0,17300,120200,36.42424242424242,0.11,0.1375,0.136499,1.0,2.0,0.0,16000
2023,support,Customer support answer,planner_critic,Planner critic loop,budget,OpenAI,gpt-3.5-turbo,0.020000000000000004,3300,293100,3451.0,48500,341600,103.51515151515152,0.17,0.3901,0.386649,1.0,2.0,0.0,16000
2023,research,Research brief,direct_prompt,Direct prompt,balanced,OpenAI,gpt-4-turbo,0.165,24200,26200,0.0,4900,31100,1.2851239669421488,0.0,0.40900000000000003,0.40900000000000003,10.0,30.0,0.0,128000
2023,research,Research brief,rag_assisted,RAG assisted,balanced,OpenAI,gpt-4-turbo,0.09,24200,55800,500.0,9000,64800,2.677685950413223,0.05,0.8280000000000001,0.823,10.0,30.0,0.0,128000
2023,research,Research brief,plan_execute,Plan and execute,balanced,OpenAI,gpt-4-turbo,0.03,24200,267600,7150.0,37200,304800,12.59504132231405,0.11,3.792,3.7205000000000004,10.0,30.0,0.0,128000
2023,research,Research brief,planner_critic,Planner critic loop,balanced,OpenAI,gpt-4-turbo,0.015,24200,705600,24650.0,99600,805200,33.27272727272727,0.17,10.044,9.797500000000001,10.0,30.0,0.0,128000
2023,coding,Code patch with tests,direct_prompt,Direct prompt,balanced,OpenAI,gpt-4-turbo,0.11000000000000001,66900,65700,0.0,11550,77250,1.154708520179372,0.0,1.0034999999999998,1.0034999999999998,10.0,30.0,0.0,128000
2023,coding,Code patch with tests,rag_assisted,RAG assisted,balanced,OpenAI,gpt-4-turbo,0.06,66900,119100,1200.0,17700,136800,2.0448430493273544,0.05,1.722,1.71,10.0,30.0,0.0,128000
2023,coding,Code patch with tests,plan_execute,Plan and execute,balanced,OpenAI,gpt-4-turbo,0.020000000000000004,66900,486300,17160.0,60000,546300,8.165919282511211,0.11,6.663,6.4914,10.0,30.0,0.0,128000
2023,coding,Code patch with tests,planner_critic,Planner critic loop,balanced,OpenAI,gpt-4-turbo,0.010000000000000002,66900,1215300,59160.0,153600,1368900,20.46188340807175,0.17,16.761,16.1694,10.0,30.0,0.0,128000
2023,orchestration,Multi-agent workflow review,direct_prompt,Direct prompt,flagship,OpenAI,gpt-4,0.05500000000000001,123200,116400,0.0,20600,137000,1.1120129870129871,0.0,4.728,4.728,30.0,60.0,0.0,8192
2023,orchestration,Multi-agent workflow review,rag_assisted,RAG assisted,flagship,OpenAI,gpt-4,0.03,123200,203600,2400.0,28800,232400,1.8863636363636365,0.05,7.836,7.763999999999999,30.0,60.0,0.0,8192
